bowler,legal_balls,runs_conceded,overs,economy
A Kumble,965,1058,160.83333333333334,6.578238341968912
GD McGrath,324,357,54.0,6.611111111111111
M Muralitharan,1528,1706,254.66666666666666,6.698952879581152
SP Narine,4081,4582,680.1666666666666,6.736584170546435
RE van der Merwe,443,498,73.83333333333333,6.744920993227991
DL Vettori,777,879,129.5,6.787644787644788
Rashid Khan,2872,3267,478.6666666666667,6.825208913649025
J Yadav,390,445,65.0,6.846153846153846
J Botha,694,800,115.66666666666667,6.916426512968299
MJ Santner,366,422,61.0,6.918032786885246
